2018-07-24,小雅伊人,沈阳,4,影片中的“北平第一影评人”的戏份就是告诉观众，别真把自己当影评人！电影中有许多镜头儿童不宜！ ​​​
2018-07-24,钱QQ2013,遵义,4.5,期待过高，很一般。
2018-07-24,yf13530507834,深圳,3,看完下来，不知讲了什么
2018-07-24,ZRG756184838,中山,1,无聊透顶，95-8
2018-07-24,顧大勝,合肥,3.5,沒有啥太多的看點
2018-07-24,haozhixin025083,北京,4,情节一般，但是老北京的景色挺唯美的
2018-07-24,Fxh567226991,武威,3.5,姜文的电影有时候真的是需要费脑子才看的懂 只懂个大概就到头了 他的表达方式比较跳跃 廖凡的演技依旧的好 喜欢相同影片的 推荐看下廖凡拍的《师父》
2018-07-24,Ykn258562977,普兰店,2.5,这电影意义在哪里？w
2018-07-24,GWK639458298,璧山,2,您好，您们工人员太慢，晚了几分刚才到！
2018-07-24,HUHAHA666,长沙,5,可以。。。。
2018-07-24,淺Zui,诸暨,2.5,不值一看，浪费了彭于晏
2018-07-24,FLa83554023,太原,5,好看好看好看
2018-07-24,tbC177561680,西安,3.5,有意思，是一部可以让人回味的电影，有许多细节值得深思，也具有封闭意味
2018-07-24,Ipd559102744,北京,3.5,口渴哦啦佛莫5句
2018-07-24,小雅伊人,沈阳,4,影片中的“北平第一影评人”的戏份就是告诉观众，别真把自己当影评人！电影中有许多镜头儿童不宜！ ​​​
2018-07-24,钱QQ2013,遵义,4.5,期待过高，很一般。
2018-07-24,yf13530507834,深圳,3,看完下来，不知讲了什么
2018-07-24,ZRG756184838,中山,1,无聊透顶，95-8
2018-07-24,顧大勝,合肥,3.5,沒有啥太多的看點
2018-07-24,haozhixin025083,北京,4,情节一般，但是老北京的景色挺唯美的
2018-07-24,wm厚德载物,镇江,5,蛮有意思的电影，耐人寻味，应该有第二部，彭于晏演技有待提高
2018-07-24,Ykn258562977,普兰店,2.5,这电影意义在哪里？w
2018-07-24,GWK639458298,璧山,2,您好，您们工人员太慢，晚了几分刚才到！
2018-07-24,HUHAHA666,长沙,5,可以。。。。
2018-07-24,淺Zui,诸暨,2.5,不值一看，浪费了彭于晏
2018-07-24,FLa83554023,太原,5,好看好看好看
2018-07-24,tbC177561680,西安,3.5,有意思，是一部可以让人回味的电影，有许多细节值得深思，也具有封闭意味
2018-07-24,Ipd559102744,北京,3.5,口渴哦啦佛莫5句
2018-07-24,小雅伊人,沈阳,4,影片中的“北平第一影评人”的戏份就是告诉观众，别真把自己当影评人！电影中有许多镜头儿童不宜！ ​​​
2018-07-24,钱QQ2013,遵义,4.5,期待过高，很一般。
2018-07-24,yf13530507834,深圳,3,看完下来，不知讲了什么
2018-07-24,ZRG756184838,中山,1,无聊透顶，95-8
2018-07-24,顧大勝,合肥,3.5,沒有啥太多的看點
2018-07-24,haozhixin025083,北京,4,情节一般，但是老北京的景色挺唯美的
2018-07-24,wm厚德载物,镇江,5,蛮有意思的电影，耐人寻味，应该有第二部，彭于晏演技有待提高
2018-07-24,sPy309162195,长春,5,怎么说呢。很有意思。而且音效完美。故事不错。
2018-07-24,GWK639458298,璧山,2,您好，您们工人员太慢，晚了几分刚才到！
2018-07-24,HUHAHA666,长沙,5,可以。。。。
2018-07-24,淺Zui,诸暨,2.5,不值一看，浪费了彭于晏
2018-07-24,FLa83554023,太原,5,好看好看好看
2018-07-24,tbC177561680,西安,3.5,有意思，是一部可以让人回味的电影，有许多细节值得深思，也具有封闭意味
2018-07-24,Ipd559102744,北京,3.5,口渴哦啦佛莫5句
2018-07-24,小雅伊人,沈阳,4,影片中的“北平第一影评人”的戏份就是告诉观众，别真把自己当影评人！电影中有许多镜头儿童不宜！ ​​​
2018-07-24,钱QQ2013,遵义,4.5,期待过高，很一般。
2018-07-24,yf13530507834,深圳,3,看完下来，不知讲了什么
2018-07-24,ZRG756184838,中山,1,无聊透顶，95-8
2018-07-24,顧大勝,合肥,3.5,沒有啥太多的看點
2018-07-24,haozhixin025083,北京,4,情节一般，但是老北京的景色挺唯美的
2018-07-24,wm厚德载物,镇江,5,蛮有意思的电影，耐人寻味，应该有第二部，彭于晏演技有待提高
2018-07-24,sPy309162195,长春,5,怎么说呢。很有意思。而且音效完美。故事不错。
2018-07-24,MiRiNDA110,呼和浩特,5,真的很棒，姜文的民国三部曲哪一个都好看
2018-07-24,HUHAHA666,长沙,5,可以。。。。
2018-07-24,淺Zui,诸暨,2.5,不值一看，浪费了彭于晏
2018-07-24,FLa83554023,太原,5,好看好看好看
2018-07-24,tbC177561680,西安,3.5,有意思，是一部可以让人回味的电影，有许多细节值得深思，也具有封闭意味
